,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
1456,506.26318,446.70862,337.40714,13.165979,27.549974,55.439777
1457,530.75995,444.2505,342.28134,13.124462,27.20743,55.526207
1458,546.6585,435.73727,352.73605,13.084452,27.042433,55.40969
1459,546.8747,422.26553,366.97247,13.058178,26.957869,55.267036
1460,552.06,418.60797,386.42746,13.047015,26.971117,55.361813
1461,566.82,417.29507,395.91043,13.078284,26.611704,55.48558
1462,568.7776,414.094,412.7498,13.030251,26.430227,55.382446
1463,607.51654,414.46332,435.64642,12.984388,26.337265,55.376476
1464,630.2364,407.21793,448.02344,12.945903,26.346874,55.362244
1465,629.63873,406.72885,480.05972,12.897894,26.104248,55.291206
1466,653.5551,401.54675,500.1397,12.883512,25.908504,55.274124
1467,684.9672,406.33035,550.2068,12.885164,25.818718,55.16924
1468,725.6062,395.67407,562.56946,12.85266,25.735792,55.19751
1469,727.6375,394.1803,592.03455,12.826091,25.54329,55.0615
1470,754.29254,391.5203,638.57764,12.797063,25.421535,54.98498
1471,778.18506,392.58936,697.2084,12.828427,25.25375,54.73258
1472,797.009,387.10153,705.3379,12.759345,25.075869,54.895924
1473,816.2685,380.55777,766.6565,12.764527,24.81659,54.79019
1474,839.31433,387.0224,802.6361,12.768287,24.590145,54.812447
1475,858.5604,386.82544,844.7083,12.795909,24.379444,54.818577
1476,865.90106,385.54297,899.5055,12.803548,24.129374,54.90399
1477,889.29474,385.95547,935.78827,12.821051,23.831026,54.9128
1478,893.7475,385.81122,1019.9546,12.865411,23.495638,55.02263
1479,921.86865,389.75592,1060.8137,12.905111,23.261852,55.38173
1480,959.3982,412.28015,1133.0299,12.982913,22.98413,55.42765
1481,964.38293,412.0893,1186.8225,13.010469,22.620623,55.59179
1482,994.44885,406.48737,1255.8599,13.085381,22.322445,55.780792
1483,965.2647,415.51288,1344.2183,13.15716,22.046467,55.965958
1484,969.019,431.83817,1375.5514,13.2238655,21.852114,56.304623
1485,1037.1787,448.48663,1488.2794,13.335758,21.594187,56.564728
1486,1037.9941,460.74146,1608.4856,13.406807,21.243212,56.702675
1487,1073.562,476.59143,1717.061,13.4586315,21.011984,56.881138
1488,1068.6455,501.44342,1744.2468,13.492843,20.832077,57.20639
1489,1046.3259,505.0664,1780.8777,13.582977,20.70274,57.37999
1490,1051.9788,527.0311,1844.4922,13.723401,20.539478,57.61248
1491,1081.6002,527.9848,1961.699,13.810112,20.317167,57.7856
1492,1089.4585,569.77386,2093.5923,13.848159,20.16568,57.896904
1493,1141.7611,611.37164,2221.86,13.890445,20.071627,58.126915
1494,1157.2297,608.45233,2306.5864,13.916639,19.936106,58.29768
1495,1184.4233,637.71405,2391.7112,13.942151,19.865332,58.44319
1496,1195.1007,656.2987,2491.9324,14.0112095,19.728807,58.59054
1497,1170.7186,680.69464,2533.6985,14.075868,19.560204,58.786335
1498,1211.5045,704.19275,2638.2324,14.071362,19.575254,58.93033
1499,1231.9026,732.1829,2842.1226,14.175302,19.361269,59.099068
1500,1249.0261,749.4451,2842.941,14.168251,19.22955,59.327927
1501,1301.3557,771.37915,2944.112,14.233699,19.044434,59.44256
1502,1249.8032,788.1766,3189.3599,14.2367325,18.944317,59.674057
1503,1284.1572,815.6447,3186.9106,14.318811,18.794096,59.619446
1504,1322.508,817.9943,3197.4575,14.409671,18.86254,59.99804
1505,1316.618,855.51324,3548.275,14.338947,18.787628,59.847572
1506,1345.3914,865.34753,3448.3943,14.337635,18.754274,60.115086
1507,1420.2218,890.59,3776.0515,14.336696,18.763718,60.10062
1508,1452.4597,906.9634,3982.4727,14.245806,18.779291,60.246277
1509,1464.8174,909.03217,4085.976,14.244632,18.869974,60.339912
1510,1488.3469,923.9163,4320.8823,14.237026,18.974394,60.51358
1511,1539.0203,914.1474,4323.223,14.207385,19.01999,60.5337
1512,1583.1381,948.7564,4431.855,14.207439,19.128956,60.59774
1513,1541.0393,956.57745,4548.6274,14.156829,19.210245,60.713596
1514,1606.8452,966.1326,4688.812,14.156086,19.22681,60.761242
1515,1629.1523,979.85443,4817.4575,14.158123,19.291006,60.81528
1516,1696.7607,989.2184,5160.5845,14.129113,19.378633,60.91033
1517,1785.1514,1003.9967,5194.2285,14.062639,19.441874,60.96012
1518,1788.5159,1024.0632,5240.293,14.068395,19.492117,60.96362
1519,1790.9458,998.27246,5377.9966,14.065607,19.549158,61.05676
1520,1824.2131,974.0613,5511.2275,14.015403,19.739685,61.090313
1521,1888.9873,1008.337,5552.7603,13.96368,19.81653,61.083088
1522,1857.0824,1005.35065,5739.482,13.940597,19.838427,61.199768
1523,1923.5424,1024.306,5804.8086,13.938185,20.028921,61.26789
1524,1975.6929,1029.7637,5916.2417,13.891353,20.084522,61.18425
1525,2002.9141,1049.7682,5979.1255,13.890251,20.1106,61.240326
1526,2007.3444,1006.35944,6056.1455,13.834987,20.245092,61.251133
1527,1990.4648,1031.3638,5965.8823,13.818465,20.32285,61.272133
1528,1986.8391,1015.541,5947.226,13.779472,20.482466,61.30369
1529,2010.1321,1018.0972,5970.7275,13.752655,20.553736,61.334446
1530,1993.3027,1000.5472,6067.9473,13.769368,20.556665,61.351295
1531,2001.7236,1025.1682,6045.502,13.757437,20.648813,61.306484
1532,2070.3452,1050.07,6097.142,13.708728,20.8025,61.351364
1533,2084.731,1034.5055,6228.9966,13.685715,20.936514,61.42761
1534,2099.5452,1037.4424,6191.2827,13.66242,20.929552,61.406105
1535,2086.804,1045.8223,6232.729,13.644822,20.956545,61.39636
1536,2082.8987,1067.5767,6227.8813,13.668231,20.967573,61.36817
1537,2117.5588,1070.7822,6232.3276,13.649019,21.130766,61.360725
1538,2100.7263,1058.3612,6314.427,13.625862,21.168142,61.35382
1539,2126.9749,1053.8667,6286.269,13.631908,21.239578,61.40494
1540,2191.8567,1081.1726,6382.9707,13.590924,21.298231,61.393974
1541,2102.48,1082.0956,6434.244,13.576531,21.305758,61.397896
1542,2178.635,1098.0057,6473.005,13.618348,21.3882,61.355736
1543,2185.0164,1090.0338,6488.4067,13.589646,21.46966,61.34257
1544,2184.998,1098.6255,6502.531,13.605934,21.546337,61.34527
1545,2197.827,1099.9197,6516.102,13.598574,21.545177,61.38709
1546,2231.1628,1094.3762,6514.2485,13.578707,21.579197,61.369553
1547,2214.9836,1084.6007,6531.9688,13.5873,21.601917,61.405155
1548,2251.1726,1100.4929,6605.511,13.551311,21.656736,61.361687
1549,2274.715,1097.4263,6597.0244,13.517727,21.695213,61.344025
1550,2305.5493,1105.9626,6629.329,13.481558,21.777508,61.351276
1551,2344.9062,1124.4197,6732.8677,13.440847,21.78287,61.33322
1552,2306.1228,1128.3054,6672.1284,13.4570465,21.823774,61.36318
1553,2309.6833,1113.6079,6663.321,13.48197,21.864883,61.36185
1554,2293.1096,1100.812,6677.924,13.446573,21.897806,61.374306
1555,2294.112,1103.5679,6634.5186,13.447699,21.86255,61.367065
1556,2303.8489,1090.6831,6654.4023,13.416414,21.904057,61.364502
1557,2336.5793,1104.6017,6718.7,13.391358,21.965212,61.37256
1558,2331.9524,1101.6326,6668.8843,13.40262,21.940601,61.367638
1559,2303.363,1107.5583,6683.5737,13.368929,21.907118,61.401253
1560,2322.7268,1102.6304,6723.0557,13.386955,21.907381,61.408752
1561,2292.0613,1090.9944,6657.2217,13.36839,21.919394,61.392124
1562,2269.0852,1094.607,6470.797,13.389415,21.886694,61.420906
1563,2259.8772,1078.3894,6552.3926,13.385146,21.951378,61.40882
1564,2283.1575,1084.668,6516.6597,13.377928,21.939833,61.410282
1565,2284.4192,1099.3668,6660.684,13.387661,22.003836,61.37899
1566,2291.797,1093.1173,6583.2554,13.409096,21.998575,61.425293
1567,2286.874,1089.9224,6605.1436,13.39106,22.008026,61.410683
1568,2272.5247,1085.4259,6590.235,13.40798,22.041983,61.41804
1569,2266.3752,1093.9265,6602.6904,13.402164,22.062864,61.427128
